index,emoji,name,group,sub_group,codepoints
855,🤷🏾,person shrugging: medium-dark skin tone,People & Body,person-gesture,1F937 1F3FE
856,🤷🏿,person shrugging: dark skin tone,People & Body,person-gesture,1F937 1F3FF
857,🤷‍♂️,man shrugging,People & Body,person-gesture,1F937 200D 2642 FE0F
858,🤷‍♂,man shrugging,People & Body,person-gesture,1F937 200D 2642
859,🤷🏻‍♂️,man shrugging: light skin tone,People & Body,person-gesture,1F937 1F3FB 200D 2642 FE0F
860,🤷🏻‍♂,man shrugging: light skin tone,People & Body,person-gesture,1F937 1F3FB 200D 2642
861,🤷🏼‍♂️,man shrugging: medium-light skin tone,People & Body,person-gesture,1F937 1F3FC 200D 2642 FE0F
862,🤷🏼‍♂,man shrugging: medium-light skin tone,People & Body,person-gesture,1F937 1F3FC 200D 2642
863,🤷🏽‍♂️,man shrugging: medium skin tone,People & Body,person-gesture,1F937 1F3FD 200D 2642 FE0F
864,🤷🏽‍♂,man shrugging: medium skin tone,People & Body,person-gesture,1F937 1F3FD 200D 2642
865,🤷🏾‍♂️,man shrugging: medium-dark skin tone,People & Body,person-gesture,1F937 1F3FE 200D 2642 FE0F
866,🤷🏾‍♂,man shrugging: medium-dark skin tone,People & Body,person-gesture,1F937 1F3FE 200D 2642
867,🤷🏿‍♂️,man shrugging: dark skin tone,People & Body,person-gesture,1F937 1F3FF 200D 2642 FE0F
868,🤷🏿‍♂,man shrugging: dark skin tone,People & Body,person-gesture,1F937 1F3FF 200D 2642
869,🤷‍♀️,woman shrugging,People & Body,person-gesture,1F937 200D 2640 FE0F
870,🤷‍♀,woman shrugging,People & Body,person-gesture,1F937 200D 2640
871,🤷🏻‍♀️,woman shrugging: light skin tone,People & Body,person-gesture,1F937 1F3FB 200D 2640 FE0F
872,🤷🏻‍♀,woman shrugging: light skin tone,People & Body,person-gesture,1F937 1F3FB 200D 2640
873,🤷🏼‍♀️,woman shrugging: medium-light skin tone,People & Body,person-gesture,1F937 1F3FC 200D 2640 FE0F
874,🤷🏼‍♀,woman shrugging: medium-light skin tone,People & Body,person-gesture,1F937 1F3FC 200D 2640
875,🤷🏽‍♀️,woman shrugging: medium skin tone,People & Body,person-gesture,1F937 1F3FD 200D 2640 FE0F
876,🤷🏽‍♀,woman shrugging: medium skin tone,People & Body,person-gesture,1F937 1F3FD 200D 2640
877,🤷🏾‍♀️,woman shrugging: medium-dark skin tone,People & Body,person-gesture,1F937 1F3FE 200D 2640 FE0F
878,🤷🏾‍♀,woman shrugging: medium-dark skin tone,People & Body,person-gesture,1F937 1F3FE 200D 2640
879,🤷🏿‍♀️,woman shrugging: dark skin tone,People & Body,person-gesture,1F937 1F3FF 200D 2640 FE0F
880,🤷🏿‍♀,woman shrugging: dark skin tone,People & Body,person-gesture,1F937 1F3FF 200D 2640
881,🧑‍⚕️,health worker,People & Body,person-role,1F9D1 200D 2695 FE0F
882,🧑‍⚕,health worker,People & Body,person-role,1F9D1 200D 2695
883,🧑🏻‍⚕️,health worker: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 2695 FE0F
884,🧑🏻‍⚕,health worker: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 2695
885,🧑🏼‍⚕️,health worker: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 2695 FE0F
886,🧑🏼‍⚕,health worker: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 2695
887,🧑🏽‍⚕️,health worker: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 2695 FE0F
888,🧑🏽‍⚕,health worker: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 2695
889,🧑🏾‍⚕️,health worker: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 2695 FE0F
890,🧑🏾‍⚕,health worker: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 2695
891,🧑🏿‍⚕️,health worker: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 2695 FE0F
892,🧑🏿‍⚕,health worker: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 2695
893,👨‍⚕️,man health worker,People & Body,person-role,1F468 200D 2695 FE0F
894,👨‍⚕,man health worker,People & Body,person-role,1F468 200D 2695
895,👨🏻‍⚕️,man health worker: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2695 FE0F
896,👨🏻‍⚕,man health worker: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2695
897,👨🏼‍⚕️,man health worker: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2695 FE0F
898,👨🏼‍⚕,man health worker: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2695
899,👨🏽‍⚕️,man health worker: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2695 FE0F
900,👨🏽‍⚕,man health worker: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2695
901,👨🏾‍⚕️,man health worker: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2695 FE0F
902,👨🏾‍⚕,man health worker: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2695
903,👨🏿‍⚕️,man health worker: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2695 FE0F
904,👨🏿‍⚕,man health worker: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2695
905,👩‍⚕️,woman health worker,People & Body,person-role,1F469 200D 2695 FE0F
906,👩‍⚕,woman health worker,People & Body,person-role,1F469 200D 2695
907,👩🏻‍⚕️,woman health worker: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2695 FE0F
908,👩🏻‍⚕,woman health worker: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2695
909,👩🏼‍⚕️,woman health worker: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2695 FE0F
910,👩🏼‍⚕,woman health worker: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2695
911,👩🏽‍⚕️,woman health worker: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2695 FE0F
912,👩🏽‍⚕,woman health worker: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2695
913,👩🏾‍⚕️,woman health worker: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2695 FE0F
914,👩🏾‍⚕,woman health worker: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2695
915,👩🏿‍⚕️,woman health worker: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2695 FE0F
916,👩🏿‍⚕,woman health worker: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2695
917,🧑‍🎓,student,People & Body,person-role,1F9D1 200D 1F393
918,🧑🏻‍🎓,student: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F393
919,🧑🏼‍🎓,student: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F393
920,🧑🏽‍🎓,student: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F393
921,🧑🏾‍🎓,student: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F393
922,🧑🏿‍🎓,student: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F393
923,👨‍🎓,man student,People & Body,person-role,1F468 200D 1F393
924,👨🏻‍🎓,man student: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F393
925,👨🏼‍🎓,man student: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F393
926,👨🏽‍🎓,man student: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F393
927,👨🏾‍🎓,man student: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F393
928,👨🏿‍🎓,man student: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F393
929,👩‍🎓,woman student,People & Body,person-role,1F469 200D 1F393
930,👩🏻‍🎓,woman student: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F393
931,👩🏼‍🎓,woman student: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F393
932,👩🏽‍🎓,woman student: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F393
933,👩🏾‍🎓,woman student: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F393
934,👩🏿‍🎓,woman student: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F393
935,🧑‍🏫,teacher,People & Body,person-role,1F9D1 200D 1F3EB
936,🧑🏻‍🏫,teacher: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F3EB
937,🧑🏼‍🏫,teacher: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F3EB
938,🧑🏽‍🏫,teacher: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F3EB
939,🧑🏾‍🏫,teacher: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F3EB
940,🧑🏿‍🏫,teacher: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F3EB
941,👨‍🏫,man teacher,People & Body,person-role,1F468 200D 1F3EB
942,👨🏻‍🏫,man teacher: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3EB
943,👨🏼‍🏫,man teacher: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3EB
944,👨🏽‍🏫,man teacher: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3EB
945,👨🏾‍🏫,man teacher: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3EB
946,👨🏿‍🏫,man teacher: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3EB
947,👩‍🏫,woman teacher,People & Body,person-role,1F469 200D 1F3EB
948,👩🏻‍🏫,woman teacher: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3EB
949,👩🏼‍🏫,woman teacher: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3EB
950,👩🏽‍🏫,woman teacher: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3EB
951,👩🏾‍🏫,woman teacher: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3EB
952,👩🏿‍🏫,woman teacher: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3EB
953,🧑‍⚖️,judge,People & Body,person-role,1F9D1 200D 2696 FE0F
954,🧑‍⚖,judge,People & Body,person-role,1F9D1 200D 2696
955,🧑🏻‍⚖️,judge: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 2696 FE0F
956,🧑🏻‍⚖,judge: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 2696
957,🧑🏼‍⚖️,judge: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 2696 FE0F
958,🧑🏼‍⚖,judge: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 2696
959,🧑🏽‍⚖️,judge: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 2696 FE0F
960,🧑🏽‍⚖,judge: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 2696
961,🧑🏾‍⚖️,judge: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 2696 FE0F
962,🧑🏾‍⚖,judge: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 2696
963,🧑🏿‍⚖️,judge: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 2696 FE0F
964,🧑🏿‍⚖,judge: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 2696
965,👨‍⚖️,man judge,People & Body,person-role,1F468 200D 2696 FE0F
966,👨‍⚖,man judge,People & Body,person-role,1F468 200D 2696
967,👨🏻‍⚖️,man judge: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2696 FE0F
968,👨🏻‍⚖,man judge: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2696
969,👨🏼‍⚖️,man judge: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2696 FE0F
970,👨🏼‍⚖,man judge: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2696
971,👨🏽‍⚖️,man judge: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2696 FE0F
972,👨🏽‍⚖,man judge: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2696
973,👨🏾‍⚖️,man judge: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2696 FE0F
974,👨🏾‍⚖,man judge: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2696
975,👨🏿‍⚖️,man judge: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2696 FE0F
976,👨🏿‍⚖,man judge: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2696
977,👩‍⚖️,woman judge,People & Body,person-role,1F469 200D 2696 FE0F
978,👩‍⚖,woman judge,People & Body,person-role,1F469 200D 2696
979,👩🏻‍⚖️,woman judge: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2696 FE0F
980,👩🏻‍⚖,woman judge: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2696
981,👩🏼‍⚖️,woman judge: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2696 FE0F
982,👩🏼‍⚖,woman judge: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2696
983,👩🏽‍⚖️,woman judge: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2696 FE0F
984,👩🏽‍⚖,woman judge: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2696
985,👩🏾‍⚖️,woman judge: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2696 FE0F
986,👩🏾‍⚖,woman judge: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2696
987,👩🏿‍⚖️,woman judge: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2696 FE0F
988,👩🏿‍⚖,woman judge: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2696
989,🧑‍🌾,farmer,People & Body,person-role,1F9D1 200D 1F33E
990,🧑🏻‍🌾,farmer: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F33E
991,🧑🏼‍🌾,farmer: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F33E
992,🧑🏽‍🌾,farmer: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F33E
993,🧑🏾‍🌾,farmer: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F33E
994,🧑🏿‍🌾,farmer: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F33E
995,👨‍🌾,man farmer,People & Body,person-role,1F468 200D 1F33E
996,👨🏻‍🌾,man farmer: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F33E
997,👨🏼‍🌾,man farmer: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F33E
998,👨🏽‍🌾,man farmer: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F33E
999,👨🏾‍🌾,man farmer: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F33E
1000,👨🏿‍🌾,man farmer: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F33E
1001,👩‍🌾,woman farmer,People & Body,person-role,1F469 200D 1F33E
1002,👩🏻‍🌾,woman farmer: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F33E
1003,👩🏼‍🌾,woman farmer: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F33E
1004,👩🏽‍🌾,woman farmer: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F33E
1005,👩🏾‍🌾,woman farmer: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F33E
1006,👩🏿‍🌾,woman farmer: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F33E
1007,🧑‍🍳,cook,People & Body,person-role,1F9D1 200D 1F373
1008,🧑🏻‍🍳,cook: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F373
1009,🧑🏼‍🍳,cook: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F373
1010,🧑🏽‍🍳,cook: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F373
1011,🧑🏾‍🍳,cook: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F373
1012,🧑🏿‍🍳,cook: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F373
1013,👨‍🍳,man cook,People & Body,person-role,1F468 200D 1F373
1014,👨🏻‍🍳,man cook: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F373
1015,👨🏼‍🍳,man cook: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F373
1016,👨🏽‍🍳,man cook: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F373
1017,👨🏾‍🍳,man cook: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F373
1018,👨🏿‍🍳,man cook: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F373
1019,👩‍🍳,woman cook,People & Body,person-role,1F469 200D 1F373
1020,👩🏻‍🍳,woman cook: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F373
1021,👩🏼‍🍳,woman cook: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F373
1022,👩🏽‍🍳,woman cook: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F373
1023,👩🏾‍🍳,woman cook: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F373
1024,👩🏿‍🍳,woman cook: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F373
1025,🧑‍🔧,mechanic,People & Body,person-role,1F9D1 200D 1F527
1026,🧑🏻‍🔧,mechanic: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F527
1027,🧑🏼‍🔧,mechanic: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F527
1028,🧑🏽‍🔧,mechanic: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F527
1029,🧑🏾‍🔧,mechanic: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F527
1030,🧑🏿‍🔧,mechanic: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F527
1031,👨‍🔧,man mechanic,People & Body,person-role,1F468 200D 1F527
1032,👨🏻‍🔧,man mechanic: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F527
1033,👨🏼‍🔧,man mechanic: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F527
1034,👨🏽‍🔧,man mechanic: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F527
1035,👨🏾‍🔧,man mechanic: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F527
1036,👨🏿‍🔧,man mechanic: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F527
1037,👩‍🔧,woman mechanic,People & Body,person-role,1F469 200D 1F527
1038,👩🏻‍🔧,woman mechanic: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F527
1039,👩🏼‍🔧,woman mechanic: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F527
1040,👩🏽‍🔧,woman mechanic: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F527
1041,👩🏾‍🔧,woman mechanic: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F527
1042,👩🏿‍🔧,woman mechanic: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F527
1043,🧑‍🏭,factory worker,People & Body,person-role,1F9D1 200D 1F3ED
1044,🧑🏻‍🏭,factory worker: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F3ED
1045,🧑🏼‍🏭,factory worker: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F3ED
1046,🧑🏽‍🏭,factory worker: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F3ED
1047,🧑🏾‍🏭,factory worker: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F3ED
1048,🧑🏿‍🏭,factory worker: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F3ED
1049,👨‍🏭,man factory worker,People & Body,person-role,1F468 200D 1F3ED
1050,👨🏻‍🏭,man factory worker: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3ED
1051,👨🏼‍🏭,man factory worker: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3ED
1052,👨🏽‍🏭,man factory worker: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3ED
1053,👨🏾‍🏭,man factory worker: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3ED
1054,👨🏿‍🏭,man factory worker: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3ED
1055,👩‍🏭,woman factory worker,People & Body,person-role,1F469 200D 1F3ED
1056,👩🏻‍🏭,woman factory worker: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3ED
1057,👩🏼‍🏭,woman factory worker: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3ED
1058,👩🏽‍🏭,woman factory worker: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3ED
1059,👩🏾‍🏭,woman factory worker: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3ED
1060,👩🏿‍🏭,woman factory worker: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3ED
1061,🧑‍💼,office worker,People & Body,person-role,1F9D1 200D 1F4BC
1062,🧑🏻‍💼,office worker: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F4BC
1063,🧑🏼‍💼,office worker: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F4BC
1064,🧑🏽‍💼,office worker: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F4BC
1065,🧑🏾‍💼,office worker: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F4BC
1066,🧑🏿‍💼,office worker: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F4BC
1067,👨‍💼,man office worker,People & Body,person-role,1F468 200D 1F4BC
1068,👨🏻‍💼,man office worker: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F4BC
1069,👨🏼‍💼,man office worker: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F4BC
1070,👨🏽‍💼,man office worker: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F4BC
1071,👨🏾‍💼,man office worker: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F4BC
1072,👨🏿‍💼,man office worker: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F4BC
1073,👩‍💼,woman office worker,People & Body,person-role,1F469 200D 1F4BC
1074,👩🏻‍💼,woman office worker: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F4BC
1075,👩🏼‍💼,woman office worker: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F4BC
1076,👩🏽‍💼,woman office worker: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F4BC
1077,👩🏾‍💼,woman office worker: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F4BC
1078,👩🏿‍💼,woman office worker: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F4BC
1079,🧑‍🔬,scientist,People & Body,person-role,1F9D1 200D 1F52C
1080,🧑🏻‍🔬,scientist: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F52C
1081,🧑🏼‍🔬,scientist: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F52C
1082,🧑🏽‍🔬,scientist: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F52C
1083,🧑🏾‍🔬,scientist: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F52C
1084,🧑🏿‍🔬,scientist: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F52C
1085,👨‍🔬,man scientist,People & Body,person-role,1F468 200D 1F52C
1086,👨🏻‍🔬,man scientist: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F52C
1087,👨🏼‍🔬,man scientist: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F52C
1088,👨🏽‍🔬,man scientist: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F52C
1089,👨🏾‍🔬,man scientist: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F52C
1090,👨🏿‍🔬,man scientist: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F52C
1091,👩‍🔬,woman scientist,People & Body,person-role,1F469 200D 1F52C
1092,👩🏻‍🔬,woman scientist: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F52C
1093,👩🏼‍🔬,woman scientist: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F52C
1094,👩🏽‍🔬,woman scientist: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F52C
1095,👩🏾‍🔬,woman scientist: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F52C
1096,👩🏿‍🔬,woman scientist: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F52C
1097,🧑‍💻,technologist,People & Body,person-role,1F9D1 200D 1F4BB
1098,🧑🏻‍💻,technologist: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F4BB
1099,🧑🏼‍💻,technologist: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F4BB
1100,🧑🏽‍💻,technologist: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F4BB
1101,🧑🏾‍💻,technologist: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F4BB
1102,🧑🏿‍💻,technologist: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F4BB
1103,👨‍💻,man technologist,People & Body,person-role,1F468 200D 1F4BB
1104,👨🏻‍💻,man technologist: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F4BB
1105,👨🏼‍💻,man technologist: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F4BB
1106,👨🏽‍💻,man technologist: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F4BB
1107,👨🏾‍💻,man technologist: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F4BB
1108,👨🏿‍💻,man technologist: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F4BB
1109,👩‍💻,woman technologist,People & Body,person-role,1F469 200D 1F4BB
1110,👩🏻‍💻,woman technologist: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F4BB
1111,👩🏼‍💻,woman technologist: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F4BB
1112,👩🏽‍💻,woman technologist: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F4BB
1113,👩🏾‍💻,woman technologist: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F4BB
1114,👩🏿‍💻,woman technologist: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F4BB
1115,🧑‍🎤,singer,People & Body,person-role,1F9D1 200D 1F3A4
1116,🧑🏻‍🎤,singer: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F3A4
1117,🧑🏼‍🎤,singer: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F3A4
1118,🧑🏽‍🎤,singer: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F3A4
1119,🧑🏾‍🎤,singer: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F3A4
1120,🧑🏿‍🎤,singer: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F3A4
1121,👨‍🎤,man singer,People & Body,person-role,1F468 200D 1F3A4
1122,👨🏻‍🎤,man singer: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3A4
1123,👨🏼‍🎤,man singer: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3A4
1124,👨🏽‍🎤,man singer: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3A4
